,Train Loss,Test Loss,LR
0,4.463272711883664,3.6419042553862186,0.00025
1,3.521887880215493,3.1936277534643254,0.00047500000000000005
2,3.260525714190775,2.8691315655231646,0.0007000000000000001
3,3.171566076793236,3.4032334252793177,0.000925
4,3.1298487930454577,2.732978685812319,0.00115
5,3.1239049217001016,3.0030398635493456,0.0013750000000000001
6,3.1468246098076365,2.678529265661364,0.0016
7,3.1954004029465346,2.6610298867730924,0.0018250000000000002
8,3.2259788421711297,3.183401048333651,0.00205
9,3.292039511391176,3.1037164282057734,0.002275
10,3.3634816857668057,3.1082612925412403,0.0025
11,3.2453136724126668,4.268606481468579,0.0025
12,3.1212011773264607,2.7035164425642884,0.0025
13,3.020857505759158,2.5195380008536827,0.0025
14,2.950718037535162,2.6151108533755565,0.0025
15,2.8450211983102736,2.2606378658813804,0.0025
16,2.796825468774274,2.298498631067298,0.0025
17,2.7223425737630707,2.3625542893496134,0.0025
18,2.6685481086453455,2.177050444854632,0.0025
19,2.608961613169178,1.9750554424566509,0.0025
20,2.580422075498746,2.3881724895327143,0.0025
21,2.5433110441443323,1.8985542186408373,0.0025
22,2.4595841492679456,2.168317458158379,0.0025
23,2.4361933440169885,2.4340450847533717,0.0025
24,2.3749728467153153,1.87081705695596,0.0025
25,2.3336076992140473,1.7054921749844694,0.0025
26,2.2978129879411746,1.6715906341007516,0.0025
27,2.246062229330911,1.7683139287966232,0.0025
28,2.2075300886367253,1.7924483286208586,0.0025
29,2.176927770986909,1.58429978547027,0.0025
30,2.0962621560378216,1.5670913750994009,0.0025
31,2.0749608901654635,1.5860668507341031,0.0025
32,2.036492166400467,1.5088902588124093,0.0025
33,2.0070979306794503,1.3875664930218883,0.0025
34,1.9684981195510791,1.6819303717545124,0.0025
35,1.935024867107642,1.3388195637536195,0.0025
36,1.879412842303934,1.303685801234921,0.0025
37,1.853423837549153,1.4186527625175136,0.0025
38,1.8085160216538396,1.5482662178439195,0.0025
39,1.7794634030957315,1.2737455954432102,0.0025
40,1.7443992562268364,1.192548379124992,0.0025
41,1.7221114960878423,1.1566783498490285,0.0025
